Id,Title,Handle,Published_date,Created_date,Product_Type,Sku,Price,Available,Grams,Image
2153780084798,The Hollis Teak,hollis-teak,2019-09-16T17:19:47-05:00,2019-05-13T14:18:19-05:00,Boots,HBB503115E,295.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-hollis-teak-29084721872958.jpg?v=1669822341
2153773465662,The Hollis Brown,hollis-brown,2019-09-16T17:19:47-05:00,2019-05-13T14:10:19-05:00,Boots,HBB502115E,295.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-hollis-brown-28555138727998.jpg?v=1628071954
2153767895102,The Hollis Black,hollis-black,2019-09-16T17:19:47-05:00,2019-05-13T14:01:52-05:00,Boots,HBB501115E,295.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-hollis-black-28555571429438.jpg?v=1628016893
2109984702526,The Lou Teak,lou-teak,2019-05-20T20:17:21-05:00,2019-04-10T14:12:27-05:00,Boots,HBB205115E,265.00,True,1588,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-lou-teak-28554989469758.jpg?v=1628077003
2108728574014,The Bradley Teak,bradley-teak,2019-05-20T20:16:21-05:00,2019-04-09T15:15:33-05:00,Shoes,HBB303115E,245.00,False,1361,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-the-bradley-teak-28547223158846.jpg?v=1628091587
8916542418,The Zind Natural,zind-natural,2019-04-29T09:48:15-05:00,2017-02-23T14:21:05-06:00,Boots,H005822007E,249.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-natural-28551949877310.jpg?v=1628092665
531291242558,The Zind Teak,zind-teak,2019-02-25T15:47:36-06:00,2018-03-05T12:35:20-06:00,Boots,H005804007E,295.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-teak-28552849948734.jpg?v=1628102758
1478410436670,The Zind Brown,zind-brown,2019-02-01T13:21:24-06:00,2018-10-01T12:52:30-05:00,Boots,HBB402115E,295.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-brown-28535755898942.jpg?v=1628010604
1478388318270,The Zind Black,zind-black,2019-02-01T13:19:59-06:00,2018-10-01T12:11:26-05:00,Boots,HBB401115E,295.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-black-6031276441662.jpg?v=1628099147
1478423019582,The Bradley Brown,bradley-brown,2019-02-01T13:16:02-06:00,2018-10-01T13:16:30-05:00,Shoes,HBB302115E,245.00,True,1361,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-the-bradley-brown-28527241494590.jpg?v=1628019070
1478418169918,The Bradley Black,bradley-black,2019-02-01T13:15:29-06:00,2018-10-01T13:07:05-05:00,Shoes,HBB301115E,245.00,True,1361,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-the-bradley-black-28553518055486.jpg?v=1628024452
148244103186,HELM ATX Cap in Gray,helm-atx-cap-gray,2018-11-06T13:06:57-06:00,2018-01-22T13:40:17-06:00,Accessories,ATXBLY_002,35.00,True,454,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-helm-atx-cap-in-gray-4151168598078.jpg?v=1541613974
1447160381502,HELM Shoe Tree,helm-shoe-tree,2018-11-06T10:41:33-06:00,2018-09-18T11:31:23-05:00,Boot Care,HLMTREE_60014,38.00,True,454,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-boot-care-helm-shoe-tree-28555184996414.jpg?v=1628024628
1453239631934,The Lou Brown,lou-brown,2018-10-19T13:26:55-05:00,2018-09-24T13:48:15-05:00,Boots,HBB202115E,219.00,False,1588,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-lou-brown-28560329375806.jpg?v=1627981818
1453237895230,The Lou Black,lou-black,2018-10-19T13:24:49-05:00,2018-09-24T13:46:17-05:00,Boots,HBB201115E,219.00,True,1361,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-lou-black-28565841477694.jpg?v=1628113911
703767428,The Pablo Brown,pablo-brown-moto-boot,2015-10-29T11:23:00-05:00,2015-05-28T21:31:33-05:00,Boots,H5001140115E,249.00,False,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-pablo-brown-6084684087358.jpg?v=1628003572
322740301,Otter Wax Bar,otter-wax-bar,2015-10-24T22:41:00-05:00,2014-05-30T16:47:23-05:00,Boot Care,10251,13.00,True,71,https://cdn.shopify.com/s/files/1/0048/2912/products/otter-wax-boot-care-otter-wax-bar-5083586501.jpg?v=1512676499
703749892,The Pablo Black,pablo-black-moto-boot,2015-10-19T14:43:00-05:00,2015-05-28T21:25:55-05:00,Boots,H5001010115E,249.00,False,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-pablo-black-28547109290046.jpg?v=1628011324
384430588,Gift Card,gift-card-1,2014-11-19T15:33:00-06:00,2014-11-19T15:26:46-06:00,Gift Card,,500.00,True,27,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-gift-card-50-00-gift-card-6003039961150.jpg?v=1549304423
322741061,Otter Wax Saddle Soap Leather Cleaner,otter-wax-saddle-soap,2014-05-30T16:48:19-05:00,2014-05-30T16:50:08-05:00,Boot Care,10253,13.00,True,57,https://cdn.shopify.com/s/files/1/0048/2912/products/otter-wax-boot-care-otter-wax-saddle-soap-5166821765.jpg?v=1538515829
2532788869,Otter Wax Boot Wax - Leather Sealant,otter-wax-boot-wax,2014-05-30T16:48:00-05:00,2015-10-21T21:29:47-05:00,Boot Care,OTTRWX_006,13.00,True,57,https://cdn.shopify.com/s/files/1/0048/2912/products/otter-wax-boot-care-otter-wax-boot-wax-5167030597.jpg?v=1538515667
322739489,Otter Wax Leather Salve Conditioner,otter-wax-leather-salve,2014-05-30T16:42:00-05:00,2014-05-30T16:44:39-05:00,Boot Care,10252,13.00,True,57,https://cdn.shopify.com/s/files/1/0048/2912/products/otter-wax-boot-care-otter-wax-leather-salve-conditioner-418818261010.jpg?v=1627025190
322738057,Otter Wax Leather Oil Conditioner,otter-wax-leather-oil,2014-05-30T16:39:00-05:00,2014-05-30T16:40:54-05:00,Boot Care,10254,10.00,True,57,https://cdn.shopify.com/s/files/1/0048/2912/products/otter-wax-boot-care-otter-wax-leather-oil-conditioner-28550451200062.jpg?v=1627619699
